label	text
1	this movie is wonderful and inspiring
1	i loved the warm story and great acting
1	the film was excellent and deeply moving
1	an enjoyable story with beautiful music
1	this was fun clever and satisfying
1	the characters are charming and memorable
1	a brilliant film that made me smile
1	great direction and a powerful ending
1	the plot is engaging and the cast is strong
1	i would happily watch this movie again
1	an uplifting and thoughtful experience
1	the acting was natural and convincing
1	this film is creative exciting and kind
1	a delightful movie with a clear message
1	the story develops well and ends beautifully
1	impressive visuals and excellent performances
1	a smart script with genuine emotion
1	the movie kept me interested throughout
1	wonderful pacing and a rewarding conclusion
1	one of the most enjoyable films this year
0	this movie is boring and painfully slow
0	i disliked the weak story and bad acting
0	the film was confusing and disappointing
0	a tedious story with terrible dialogue
0	this was dull predictable and frustrating
0	the characters are flat and forgettable
0	a poor film that wasted my time
0	bad direction and a ridiculous ending
0	the plot is messy and the cast is weak
0	i would never watch this movie again
0	a depressing and careless experience
0	the acting was unnatural and unconvincing
0	this film is noisy empty and pointless
0	a dreadful movie with no clear message
0	the story develops badly and ends abruptly
0	cheap visuals and awful performances
0	a lazy script with no real emotion
0	the movie lost my interest immediately
0	terrible pacing and an unrewarding conclusion
0	one of the least enjoyable films this year
